State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Chittoor,2022-01-26,2022,01,0.507623336,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-28,2022,01,0.737394444,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-29,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-30,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-01,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-02,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-03,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-04,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-05,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-06,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-07,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-08,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-11,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-09,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-10,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-12,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-13,2022,01,4.376222315,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-16,2022,01,0.545105353,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-14,2022,01,8.925114305,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-15,2022,01,3.794586426,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-17,2022,01,0.043569629,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-20,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-18,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-19,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-21,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-22,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-23,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-24,2022,01,0.319552378,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-25,2022,01,1.610265296,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-26,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-28,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-29,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-27,2022,01,0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2022-01-30,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-01,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-02,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-03,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-04,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-05,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-06,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-07,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-08,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-11,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-09,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-10,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-12,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-13,2022,01,5.406666748,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-16,2022,01,1.627041923,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-14,2022,01,17.7655257,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-15,2022,01,1.779732752,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-17,2022,01,0.544261656,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-18,2022,01,0.280542172,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-19,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-20,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-21,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-22,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-23,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-24,2022,01,0.477694901,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-25,2022,01,0.052140517,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-26,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-28,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-29,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-27,2022,01,0.172913176,IMD GRID MODEL
Andhra Pradesh,Guntur,2022-01-30,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-01,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-02,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-03,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-04,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-05,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-06,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-07,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-08,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-11,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-09,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-10,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-12,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-13,2022,01,3.309678112,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-16,2022,01,0.216269986,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-14,2022,01,14.5068002,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-15,2022,01,1.270028662,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-17,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-18,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-19,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-20,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-21,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-22,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-23,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-24,2022,01,1.801439925,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-25,2022,01,0.317985312,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-26,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-28,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-29,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-27,2022,01,0.021257261,IMD GRID MODEL
Andhra Pradesh,Krishna,2022-01-30,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-01,2022,01,0.001406175,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-02,2022,01,0.044831676,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-03,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-04,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-05,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-06,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-07,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-08,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-11,2022,01,0.061670838,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-09,2022,01,0,IMD GRID MODEL
